learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.040552,0.0,1000.0,64.3,39.08047350000597,13.349514563106807,13.349514563106807,1000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.067943,0.0,2000.0,72.89999999999999,63.58393231717723,47.78420038535645,63.624161073825505,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.105769,0.0,3000.0,60.9,51.23356627308454,-0.5141388174807203,47.446236559139784,3000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.136992,0.0,4000.0,74.2,58.98648938656187,7.526881720430113,51.22873345935728,4000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.164518,0.0,5000.0,72.7,56.07104583093305,20.175438596491215,41.16379310344826,5000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.19205,0.0,6000.0,54.6,39.84205226056077,1.518438177874188,32.23880597014926,6000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.2188,0.0,7000.0,56.49999999999999,48.32458811132903,10.677618069815182,42.3076923076923,7000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.244616,0.0,8000.0,57.599999999999994,46.827588455567174,7.221006564551405,43.91534391534391,8000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.269312,0.0,9000.0,53.6,42.343058800139175,10.07751937984497,40.891719745222936,9000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.294041,0.0,10000.0,74.2,54.995185531475464,36.45320197044335,55.20833333333333,10000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.318643,0.0,11000.0,61.5,52.484739579348016,18.25902335456475,47.18792866941015,11000.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
12000.0,0.343116,0.0,12000.0,71.5,64.54994601640902,39.74630021141648,66.50998824911868,12000.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
13000.0,0.372378,0.0,13000.0,67.7,55.91202059440972,36.16600790513835,57.61154855643045,13000.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
14000.0,0.400337,0.0,14000.0,62.7,55.96383131195907,41.53605015673981,55.857988165680474,14000.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
15000.0,0.422836,0.0,15000.0,64.9,55.447750111380635,38.42105263157895,51.18219749652295,15000.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
16000.0,0.447537,0.0,16000.0,76.6,53.164217462141075,-165.909090909091,46.45308924485127,16000.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
17000.0,0.47142,0.0,17000.0,73.6,14.461512540784696,-438.7755102040812,-27.536231884057997,17000.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
18000.0,0.494476,0.0,18000.0,83.2,54.89751265151616,-459.9999999999996,22.580645161290295,18000.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
19000.0,0.515878,0.0,19000.0,84.0,62.98541162535683,-627.2727272727268,35.48387096774192,19000.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.540692,0.0,20000.0,79.3,43.280678439807645,-885.7142857142846,-3.500000000000004,20000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
21000.0,0.563457,0.0,21000.0,87.5,64.37589416505645,-380.7692307692304,35.23316062176164,21000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
22000.0,0.585202,0.0,22000.0,85.0,57.86848225420472,-1263.6363636363626,3.8461538461538494,22000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
23000.0,0.607189,0.0,23000.0,80.10000000000001,45.157307582071134,-1143.7499999999986,-38.1944444444444,23000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
24000.0,0.629059,0.0,24000.0,75.7,41.28690408019775,-799.9999999999992,-5.1948051948052,24000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
25000.0,0.651573,0.0,25000.0,79.0,44.442974681869906,-854.5454545454536,-8.808290155440424,25000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
26000.0,0.674483,0.0,26000.0,80.0,47.330027414720746,-589.6551724137923,-9.289617486338743,26000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
27000.0,0.696326,0.0,27000.0,81.5,49.16157824445311,-560.7142857142853,-24.161073825503372,27000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
28000.0,0.716618,0.0,28000.0,78.3,48.39783603828548,-371.7391304347821,0.0,28000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
29000.0,0.737233,0.0,29000.0,76.9,42.15455501577604,-579.4117647058818,-24.86486486486482,29000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
30000.0,0.758349,0.0,30000.0,76.2,37.12652362510504,-667.7419354838703,-32.96089385474856,30000.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
